symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,gross_pnl,fees,net_pnl,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-01-21,2026-02-01,LONG_PUT,PUT,248.35,OPTION_PROXY,12.4175,13.5005,4,-438.80000000000007,-0.08834306422387761,-433.20000000000005,5.6000000000000005,-438.80000000000007,6.199999999999761,-433.20000000000005,11,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-21,2026-01-26,LONG_PUT,PUT,451.14,OPTION_PROXY,22.557000000000002,24.029,2,-297.19999999999953,-0.06587755463935796,-294.3999999999995,2.8000000000000003,-297.19999999999953,0.0,-294.3999999999995,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-21,2026-02-05,LONG_CALL,CALL,234.34,OPTION_PROXY,11.717,10.516,4,-486.0000000000002,-0.10369548519245544,-480.4000000000002,5.6000000000000005,-486.0000000000002,206.8000000000005,-480.4000000000002,15,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-22,2026-02-01,LONG_PUT,PUT,248.04,OPTION_PROXY,12.402000000000001,13.5005,4,-444.9999999999999,-0.08970327366553779,-439.39999999999986,5.6000000000000005,-444.9999999999999,0.0,-439.39999999999986,10,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-22,2026-02-04,LONG_CALL,CALL,239.16,OPTION_PROXY,11.958,11.134500000000001,4,-334.9999999999997,-0.07003679545074422,-329.3999999999997,5.6000000000000005,-334.9999999999997,110.40000000000063,-329.3999999999997,13,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-25,2026-02-01,LONG_PUT,PUT,255.41,OPTION_PROXY,12.7705,13.5005,3,-223.2000000000001,-0.05825926940996831,-219.0000000000001,4.2,-223.2000000000001,0.0,-219.0000000000001,7,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-25,2026-02-04,LONG_CALL,CALL,238.42,OPTION_PROXY,11.921,11.134500000000001,4,-320.19999999999936,-0.06715040684506321,-314.59999999999934,5.6000000000000005,-320.19999999999936,125.20000000000095,-314.59999999999934,10,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-26,2026-02-03,LONG_PUT,PUT,258.27,OPTION_PROXY,12.913499999999999,13.8245,3,-277.5000000000004,-0.07163046424284675,-273.3000000000004,4.2,-277.5000000000004,27.44999999999944,-273.3000000000004,8,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-27,2026-02-01,LONG_PUT,PUT,256.44,OPTION_PROXY,12.822000000000001,13.5005,3,-207.7499999999999,-0.05400873498674151,-203.5499999999999,4.2,-207.7499999999999,0.0,-203.5499999999999,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-28,2026-02-02,LONG_PUT,PUT,433.5,OPTION_PROXY,21.675,20.5605,2,220.0999999999999,0.05077277970011532,222.89999999999992,2.8000000000000003,220.0999999999999,222.89999999999992,0.0,5,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
