symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,gross_pnl,fees,net_pnl,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-01-21,2026-01-26,LONG_PUT,PUT,248.35,OPTION_PROXY,12.4175,12.913499999999999,4,-203.99999999999946,-0.04107106905576796,-198.39999999999947,5.6000000000000005,-203.99999999999946,6.199999999999761,-198.39999999999947,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-21,2026-01-22,LONG_PUT,PUT,451.14,OPTION_PROXY,22.557000000000002,23.2975,2,-150.89999999999947,-0.0334485968878839,-148.09999999999945,2.8000000000000003,-150.89999999999947,0.0,-148.09999999999945,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-21,2026-01-26,LONG_CALL,CALL,234.34,OPTION_PROXY,11.717,12.234000000000002,4,201.2000000000005,0.042929077408893165,206.8000000000005,5.6000000000000005,201.2000000000005,206.8000000000005,0.0,5,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-22,2026-01-26,LONG_PUT,PUT,248.04,OPTION_PROXY,12.402000000000001,12.913499999999999,4,-210.19999999999922,-0.042372198032575234,-204.59999999999923,5.6000000000000005,-210.19999999999922,0.0,-204.59999999999923,4,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-22,2026-02-04,LONG_CALL,CALL,239.16,OPTION_PROXY,11.958,11.134500000000001,4,-334.9999999999997,-0.07003679545074422,-329.3999999999997,5.6000000000000005,-334.9999999999997,110.40000000000063,-329.3999999999997,13,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-25,2026-02-01,LONG_PUT,PUT,255.41,OPTION_PROXY,12.7705,13.5005,3,-223.2000000000001,-0.05825926940996831,-219.0000000000001,4.2,-223.2000000000001,0.0,-219.0000000000001,7,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-25,2026-02-04,LONG_CALL,CALL,238.42,OPTION_PROXY,11.921,11.134500000000001,4,-320.19999999999936,-0.06715040684506321,-314.59999999999934,5.6000000000000005,-320.19999999999936,125.20000000000095,-314.59999999999934,10,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-26,2026-02-01,LONG_PUT,PUT,258.27,OPTION_PROXY,12.913499999999999,13.5005,3,-180.30000000000044,-0.04654044217291993,-176.10000000000045,4.2,-180.30000000000044,27.44999999999944,-176.10000000000045,6,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-27,2026-02-01,LONG_PUT,PUT,256.44,OPTION_PROXY,12.822000000000001,13.5005,3,-207.7499999999999,-0.05400873498674151,-203.5499999999999,4.2,-207.7499999999999,0.0,-203.5499999999999,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-28,2026-02-02,LONG_PUT,PUT,433.5,OPTION_PROXY,21.675,20.5605,2,220.0999999999999,0.05077277970011532,222.89999999999992,2.8000000000000003,220.0999999999999,222.89999999999992,0.0,5,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-29,2026-02-02,LONG_PUT,PUT,430.29,OPTION_PROXY,21.5145,20.5605,2,188.0000000000001,0.043691463896441955,190.80000000000013,2.8000000000000003,188.0000000000001,190.80000000000013,0.0,4,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-01,2026-02-04,LONG_PUT,PUT,423.37,OPTION_PROXY,21.1685,19.683500000000002,2,294.1999999999999,0.0694900441694026,296.9999999999999,2.8000000000000003,294.1999999999999,296.9999999999999,0.0,3,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-01,2026-02-03,LONG_CALL,CALL,242.96,OPTION_PROXY,12.148000000000001,11.649500000000002,4,-204.99999999999997,-0.04218801448798155,-199.39999999999998,5.6000000000000005,-204.99999999999997,0.0,-199.39999999999998,2,STOP_LOSS,60.0,60.0,0.0,0.0,100.0
MSFT,2026-02-02,2026-02-04,LONG_PUT,PUT,411.21,OPTION_PROXY,20.5605,19.683500000000002,2,172.59999999999977,0.04197368741032556,175.39999999999978,2.8000000000000003,172.59999999999977,175.39999999999978,-29.800000000000182,2,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-02,2026-02-04,LONG_CALL,CALL,238.62,OPTION_PROXY,11.931000000000001,11.134500000000001,4,-324.20000000000005,-0.06793227726091694,-318.6,5.6000000000000005,-324.20000000000005,0.0,-318.6,2,STOP_LOSS,60.0,60.0,0.0,0.0,100.0
MSFT,2026-02-03,2026-02-04,LONG_PUT,PUT,414.19,OPTION_PROXY,20.709500000000002,19.683500000000002,2,202.39999999999995,0.04886646225162363,205.19999999999996,2.8000000000000003,202.39999999999995,205.19999999999996,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
