symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,gross_pnl,fees,net_pnl,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-01-21,2026-01-25,LONG_PUT,PUT,248.35,OPTION_PROXY,24.835,25.541,2,-143.99999999999991,-0.028991342862895092,-141.1999999999999,2.8000000000000003,-143.99999999999991,6.199999999999761,-141.1999999999999,4,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-21,2026-01-22,LONG_PUT,PUT,451.14,OPTION_PROXY,45.114000000000004,46.595,1,-149.49999999999946,-0.033138271933324345,-148.09999999999945,1.4000000000000001,-149.49999999999946,0.0,-148.09999999999945,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-21,2026-02-04,LONG_CALL,CALL,234.34,OPTION_PROXY,23.434,22.269000000000002,2,-235.79999999999984,-0.05031151318596907,-232.99999999999983,2.8000000000000003,-235.79999999999984,206.8000000000005,-232.99999999999983,14,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-22,2026-01-25,LONG_PUT,PUT,248.04,OPTION_PROXY,24.804000000000002,25.541,2,-150.19999999999968,-0.030277374616997192,-147.39999999999966,2.8000000000000003,-150.19999999999968,0.0,-147.39999999999966,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-22,2026-02-03,LONG_CALL,CALL,239.16,OPTION_PROXY,23.916,23.299000000000003,2,-126.19999999999946,-0.026384010704131013,-123.39999999999947,2.8000000000000003,-126.19999999999946,110.40000000000063,-123.39999999999947,12,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-25,2026-02-01,LONG_PUT,PUT,255.41,OPTION_PROXY,25.541,27.001,1,-147.4000000000001,-0.057711131122508946,-146.00000000000009,1.4000000000000001,-147.4000000000001,0.0,-146.00000000000009,7,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-25,2026-02-03,LONG_CALL,CALL,238.42,OPTION_PROXY,23.842,23.299000000000003,2,-111.39999999999914,-0.023362134049156772,-108.59999999999914,2.8000000000000003,-111.39999999999914,125.20000000000095,-108.59999999999914,9,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-26,2026-02-01,LONG_PUT,PUT,258.27,OPTION_PROXY,25.826999999999998,27.001,1,-118.80000000000031,-0.04599837379486596,-117.4000000000003,1.4000000000000001,-118.80000000000031,18.299999999999628,-117.4000000000003,6,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-27,2026-02-01,LONG_PUT,PUT,256.44,OPTION_PROXY,25.644000000000002,27.001,1,-137.09999999999994,-0.05346279831539539,-135.69999999999993,1.4000000000000001,-137.09999999999994,0.0,-135.69999999999993,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-28,2026-02-04,LONG_PUT,PUT,433.5,OPTION_PROXY,43.35,39.367000000000004,1,396.89999999999975,0.09155709342560547,398.2999999999997,1.4000000000000001,396.89999999999975,398.2999999999997,0.0,7,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
